zion01,1,hare recv,4.00Mbits/sec
zion01,16K,hare recv,11.5Gbits/sec
zion01,1K,hare recv,3.41Gbits/sec
zion01,256,hare recv,923Mbits/sec
zion01,4K,hare recv,9.35Gbits/sec
zion01,512,hare recv,1.85Gbits/sec
zion01,64,hare recv,244Mbits/sec
zion01,8,hare recv,31.0Mbits/sec
zion01,8K,hare recv,16.2Gbits/sec
zion07,1,hare recv,4.69Mbits/sec
zion07,16K,hare recv,9.13Gbits/sec
zion07,1K,hare recv,3.10Gbits/sec
zion07,256,hare recv,905Mbits/sec
zion07,4K,hare recv,8.31Gbits/sec
zion07,512,hare recv,1.66Gbits/sec
zion07,64,hare recv,241Mbits/sec
zion07,8,hare recv,31.4Mbits/sec
zion07,8K,hare recv,9.19Gbits/sec
zion08,1,hare recv,5.07Mbits/sec
zion08,16K,hare recv,9.12Gbits/sec
zion08,1K,hare recv,3.06Gbits/sec
zion08,256,hare recv,916Mbits/sec
zion08,4K,hare recv,8.53Gbits/sec
zion08,512,hare recv,1.71Gbits/sec
zion08,64,hare recv,237Mbits/sec
zion08,8,hare recv,31.6Mbits/sec
zion08,8K,hare recv,9.38Gbits/sec
zion09,1,hare recv,5.06Mbits/sec
zion09,16K,hare recv,8.95Gbits/sec
zion09,1K,hare recv,3.13Gbits/sec
zion09,256,hare recv,915Mbits/sec
zion09,4K,hare recv,8.26Gbits/sec
zion09,512,hare recv,1.67Gbits/sec
zion09,64,hare recv,236Mbits/sec
zion09,8,hare recv,30.7Mbits/sec
zion09,8K,hare recv,9.12Gbits/sec
zion10,1,hare recv,4.52Mbits/sec
zion10,16K,hare recv,8.97Gbits/sec
zion10,1K,hare recv,3.05Gbits/sec
zion10,256,hare recv,923Mbits/sec
zion10,4K,hare recv,8.86Gbits/sec
zion10,512,hare recv,1.66Gbits/sec
zion10,64,hare recv,234Mbits/sec
zion10,8,hare recv,31.5Mbits/sec
zion10,8K,hare recv,9.33Gbits/sec
